ID,window,serviceby,job_size,in_Queue_time,out_Queue_time,out_Server_time,queueing_time,response_time,isFinished
1714,11,cm_03,0.013103782428023347,1435196295.082369,1435198857.294604,1435198857.308349,2562.2122349739075,2562.2259798049927,1
1715,11,cm_02,0.4120241300920635,1435196815.668258,1435201169.925614,1435201170.338211,4354.25735616684,4354.669953107834,1
1716,11,cm_02,5.729747326220313,1435196819.046928,1435201170.339808,1435201176.071894,4351.292880058289,4357.024966001511,1
1717,11,cm_02,3.7752185680380643,1435196821.016564,1435201176.073384,1435201179.851887,4355.05682015419,4358.835323095322,1
1718,11,cm_02,1.6893213410336512,1435196825.466045,1435201179.853435,1435201181.543882,4354.387390136719,4356.077836990356,1
1719,11,cm_03,0.4650708770659986,1435196297.430156,1435198857.310576,1435198857.776567,2559.8804199695587,2560.3464109897614,1
1720,11,cm_03,4.484382486356132,1435196297.672723,1435198857.778832,1435198862.268096,2560.106108903885,2564.595372915268,1
1721,11,cm_01,1.3671114893415512,1435196297.729605,1435198599.499118,1435198600.86795,2301.769513130188,2303.138345003128,1
1722,11,cm_02,0.538422839018688,1435196829.382159,1435201181.545506,1435201182.084611,4352.163347005844,4352.702451944351,1
1723,11,cm_02,0.2407856510241313,1435196831.074956,1435201182.085856,1435201182.327035,4351.010900020599,4351.25207901001,1
1724,11,cm_02,3.8132488890898575,1435196835.258436,1435201182.32834,1435201186.143887,4347.069904088974,4350.885451078415,1
1725,11,cm_03,0.2753648218023641,1435196298.926343,1435198862.271339,1435198862.547313,2563.3449959754944,2563.6209700107574,1
1726,11,cm_03,2.1149296379828963,1435196301.697259,1435198862.549966,1435198864.667439,2560.8527071475983,2562.9701800346375,1
1727,11,cm_01,0.662183441763105,1435196299.348456,1435198600.87017,1435198601.533494,2301.5217142105103,2302.185038089752,1
1728,11,cm_02,0.5170180355827401,1435196839.207002,1435201186.145371,1435201186.663051,4346.938369035721,4347.456048965454,1
1729,11,cm_02,0.24519019825333954,1435196841.404268,1435201186.664144,1435201186.909716,4345.259876012802,4345.5054478645325,1
1730,11,cm_03,0.32223004293975066,1435196303.95374,1435198864.670118,1435198864.993167,2560.716378211975,2561.0394270420074,1
1731,11,cm_03,0.5248131005257624,1435196305.209808,1435198864.995572,1435198865.521379,2559.785763978958,2560.3115708827972,1
1732,11,cm_03,0.077456851074029,1435196307.477319,1435198865.523682,1435198865.601628,2558.0463631153107,2558.1243090629578,1
1733,11,cm_03,0.1595235068065386,1435196308.725863,1435198865.603984,1435198865.764196,2556.878121137619,2557.038332939148,1
1734,11,cm_03,4.037786442926267,1435196311.495774,1435198865.766209,1435198869.808359,2554.270434856415,2558.312584877014,1
1735,11,cm_03,0.6598610932418352,1435196312.492521,1435198869.811015,1435198870.471926,2557.3184938430786,2557.9794049263,1
1736,11,cm_03,0.29427926600397636,1435196314.744374,1435198870.474608,1435198870.769578,2555.7302339076996,2556.0252039432526,1
1737,11,cm_03,0.8609755461990587,1435196315.99555,1435198870.77209,1435198871.634347,2554.77654004097,2555.638797044754,1
1738,11,cm_03,1.4971964003721552,1435196317.760396,1435198871.636674,1435198873.135811,2553.876277923584,2555.375415086746,1
1739,11,cm_03,1.783053971146603,1435196318.760387,1435198873.139309,1435198874.924645,2554.378921985626,2556.164258003235,1
1740,11,cm_03,0.6104841936268839,1435196321.769596,1435198874.927179,1435198875.538737,2553.1575829982758,2553.769140958786,1
1741,11,cm_03,163.8726344337449,1435196322.766609,1435198875.541526,1435199039.511961,2552.774917125702,2716.7453520298004,1
1742,11,cm_03,3.9200227928513014,1435196325.273075,1435199039.515194,1435199043.439545,2714.242118835449,2718.166469812393,1
1743,11,cm_03,0.7100266312725556,1435196327.790434,1435199043.441716,1435199044.151911,2715.6512820720673,2716.361477136612,1
1744,11,cm_03,0.049755221511235126,1435196330.047208,1435199044.152978,1435199044.202938,2714.1057698726654,2714.155730009079,1
1745,11,cm_03,0.377170917110246,1435196331.049988,1435199044.203996,1435199044.581721,2713.154007911682,2713.5317330360413,1
1746,11,cm_03,0.49619148741725083,1435196333.573995,1435199044.582902,1435199045.079801,2711.008906841278,2711.5058059692383,1
1747,11,cm_03,3.967720697495057,1435196335.835951,1435199045.081844,1435199049.053914,2709.2458930015564,2713.2179629802704,1
1748,11,cm_03,0.30779506493065356,1435196337.08701,1435199049.056172,1435199049.364521,2711.9691619873047,2712.2775111198425,1
1749,11,cm_03,27.65909592341948,1435196338.094118,1435199049.365929,1435199077.027975,2711.271810770035,2738.9338569641113,1
1750,11,cm_03,0.2089579404638917,1435196340.607012,1435199077.029706,1435199077.239189,2736.422693967819,2736.632176876068,1
1751,11,cm_01,0.26317544994390185,1435196305.239993,1435198601.53665,1435198601.800572,2296.296656847,2296.5605788230896,1
1752,11,cm_03,0.35034581079288274,1435196341.867196,1435199077.241488,1435199077.593473,2735.37429189682,2735.7262768745422,1
1753,11,cm_03,0.18065878662872614,1435196342.931827,1435199077.594606,1435199077.775601,2734.66277885437,2734.843773841858,1
1754,11,cm_03,5.741411139394375,1435196344.191529,1435199077.776741,1435199083.524089,2733.585211992264,2739.3325600624084,1
1755,11,cm_03,1.1955084036413886,1435196345.445474,1435199083.525562,1435199084.72245,2738.0800881385803,2739.276976108551,1
1756,11,cm_03,0.7063742232962633,1435196347.763233,1435199084.724141,1435199085.431464,2736.960907936096,2737.668231010437,1
1757,11,cm_03,3.5911486190742012,1435196349.017114,1435199085.433792,1435199089.027941,2736.4166781902313,2740.010827064514,1
1758,11,cm_03,0.030401391686160073,1435196351.51282,1435199089.029813,1435199089.060625,2737.516993045807,2737.547805070877,1
1759,11,cm_03,0.24631670964267438,1435196353.277147,1435199089.061669,1435199089.308425,2735.7845220565796,2736.0312778949738,1
1760,11,cm_01,1.2469927053129903,1435196309.569681,1435198601.804333,1435198603.052997,2292.234652042389,2293.48331618309,1
1761,11,cm_03,12.09612072032045,1435196354.281314,1435199089.309622,1435199101.418073,2735.0283081531525,2747.13675904274,1
1762,11,cm_03,0.1177685450348176,1435196356.290686,1435199101.41988,1435199101.538007,2745.129194021225,2745.247321128845,1
1763,11,cm_03,0.22991984279585975,1435196359.564002,1435199101.539429,1435199101.769815,2741.9754269123077,2742.205812931061,1
1764,11,cm_03,4.052439427665307,1435196360.840095,1435199101.771082,1435199105.827772,2740.930986881256,2744.987676858902,1
1765,11,cm_03,0.04110575265263994,1435196362.101688,1435199105.829083,1435199105.870402,2743.727395057678,2743.7687141895294,1
1766,11,cm_03,0.1366580662005501,1435196364.607524,1435199105.871698,1435199106.0087,2741.2641739845276,2741.4011759757996,1
1767,11,cm_03,6.562735515878751,1435196365.628604,1435199106.009822,1435199112.579341,2740.381217956543,2746.9507369995117,1
1768,11,cm_01,0.5403740458026742,1435196311.895446,1435198603.055097,1435198603.596431,2291.159651041031,2291.700984954834,1
1769,11,cm_03,0.06020915930969295,1435196368.419495,1435199112.581143,1435199112.641612,2744.161647796631,2744.222116947174,1
1770,11,cm_03,2.5612880020630002,1435196370.67026,1435199112.643006,1435199115.207039,2741.9727461338043,2744.536779165268,1
1771,11,cm_03,0.3545299679833014,1435196372.181991,1435199115.208632,1435199115.563689,2743.026640892029,2743.3816978931427,1
1772,11,cm_03,1.293209781578831,1435196373.442499,1435199115.564728,1435199116.859432,2742.1222290992737,2743.4169330596924,1
1773,11,cm_03,18.510341451415034,1435196374.943469,1435199116.860664,1435199135.375882,2741.9171948432922,2760.4324128627777,1
1774,11,cm_03,0.44114589832389073,1435196377.464697,1435199135.377548,1435199135.819356,2757.9128510951996,2758.3546590805054,1
1775,11,cm_01,0.7589124877594151,1435196316.364506,1435198603.598817,1435198604.358943,2287.234311103821,2287.994436979294,1
1776,11,cm_02,1.094563690063855,1435196845.567399,1435201186.910785,1435201188.006578,4341.34338593483,4342.439178943634,1
1777,11,cm_02,0.8051050984214396,1435196847.537755,1435201188.007619,1435201188.813689,4340.469863891602,4341.275933980942,1
1778,11,cm_02,0.3114231608356046,1435196849.223824,1435201188.814732,1435201189.126619,4339.590908050537,4339.90279507637,1
1779,11,cm_03,0.15721217981636282,1435196378.716434,1435199135.820757,1435199135.978466,2757.104322910309,2757.262032032013,1
1780,11,cm_03,28.605448152148554,1435196379.971021,1435199135.9797,1435199164.614004,2756.008679151535,2784.6429829597473,1
1781,11,cm_03,0.1617613499927968,1435196380.966145,1435199164.616156,1435199164.77834,2783.650011062622,2783.8121950626373,1
1782,11,cm_01,0.42023911705784633,1435196317.774016,1435198604.363184,1435198604.783983,2286.589168071747,2287.0099670886993,1
1783,11,cm_02,1.01817148069772,1435196852.895095,1435201189.127718,1435201190.147045,4336.232622861862,4337.25194978714,1
1784,11,cm_02,14.298111034165297,1435196857.086406,1435201190.148095,1435201204.45991,4333.061688899994,4347.373503923416,1
1785,11,cm_02,0.5174981153937455,1435196858.775685,1435201204.461579,1435201204.979759,4345.685894012451,4346.204073905945,1
1786,12,cm_02,1.8792340731574915,1435196862.435778,1435201204.980821,1435201206.862078,4342.545042991638,4344.426300048828,1
1787,12,cm_02,0.32501306167588506,1435196866.739468,1435201206.863969,1435201207.189488,4340.124500989914,4340.450019836426,1
1788,12,cm_02,0.08821958167528265,1435196868.434738,1435201207.190633,1435201207.279074,4338.755895137787,4338.844336032867,1
1789,12,cm_02,0.7775337247867764,1435196872.429251,1435201207.280053,1435201208.058534,4334.850801944733,4335.629282951355,1
1790,12,cm_02,0.22581363530173681,1435196874.649169,1435201208.060688,1435201208.287037,4333.411519050598,4333.637867927551,1
1791,12,cm_02,7.838890487795158,1435196878.289209,1435201208.290123,1435201216.135888,4330.000914096832,4337.846679210663,1
1792,12,cm_02,0.013686249422771413,1435196880.24602,1435201216.137346,1435201216.151201,4335.891325950623,4335.905180931091,1
1793,12,cm_02,1.179378559291656,1435196883.884831,1435201216.151976,1435201217.331886,4332.26714515686,4333.447055101395,1
1794,12,cm_02,7.97364855068399,1435196885.880061,1435201217.332907,1435201225.311889,4331.452846050262,4339.431828022003,1
1795,12,cm_02,19.15715373786696,1435196887.567536,1435201225.313316,1435201244.487888,4337.74577999115,4356.920351982117,1
1796,12,cm_02,0.32821231549098306,1435196891.46932,1435201244.489634,1435201244.818332,4353.020313978195,4353.349011898041,1
1797,12,cm_02,0.3990225906809677,1435196893.391014,1435201244.819546,1435201245.219122,4351.428531885147,4351.828107833862,1
1798,12,cm_01,0.4217317792244677,1435196324.156066,1435198604.791024,1435198605.213728,2280.6349580287933,2281.057662010193,1
1799,12,cm_02,0.46128913735411614,1435196898.328023,1435201245.220184,1435201245.682081,4346.892161130905,4347.3540580272675,1
1800,12,cm_02,0.44753383463499063,1435196900.028152,1435201245.683464,1435201246.131587,4345.65531206131,4346.10343503952,1
1801,12,cm_02,0.11596682963231575,1435196904.370306,1435201246.132725,1435201246.248952,4341.762418985367,4341.878645896912,1
1802,12,cm_02,0.6716851224732778,1435196906.357571,1435201247.02937,1435201247.701886,4340.671799182892,4341.3443150520325,1
1803,12,cm_02,21.975941441877122,1435196908.131953,1435201247.702955,1435201269.699905,4339.571002006531,4361.567951917648,1
1804,12,cm_02,1.2892807075856503,1435196910.105084,1435201269.701561,1435201270.991897,4359.596477031708,4360.886813163757,1
1805,12,cm_02,36.83121973189477,1435196912.604723,1435201270.993428,1435201307.859904,4358.3887050151825,4395.2551810741425,1
1806,12,cm_02,1.714911752418311,1435196914.574991,1435201307.861496,1435201309.578293,4393.286504983902,4395.003302097321,1
1807,12,cm_02,1.1097295647967638,1435196916.57732,1435201309.580419,1435201310.691442,4393.003098964691,4394.11412191391,1
1808,12,cm_02,3.940526611626712,1435196918.262928,1435201310.694652,1435201314.635895,4392.431724071503,4396.372967004776,1
1809,12,cm_02,7.450818270645687,1435196920.242394,1435201314.63734,1435201322.091897,4394.394946098328,4401.849503040314,1
1810,12,cm_02,3.7350298678010754,1435196922.216009,1435201322.093778,1435201325.831895,4399.877768993378,4403.615886211395,1
1811,12,cm_02,0.6489423444687594,1435196925.590822,1435201325.833391,1435201326.48317,4400.242568969727,4400.892348051071,1
1812,12,cm_02,0.2727858215474903,1435196929.535167,1435201326.484676,1435201326.757887,4396.949508905411,4397.222719907761,1
1813,12,cm_02,1.3801630077794318,1435196931.228494,1435201326.758923,1435201328.14055,4395.530429124832,4396.912055969238,1
1814,12,cm_02,2.523214325171225,1435196934.912096,1435201328.141959,1435201330.667833,4393.2298629283905,4395.755737066269,1
1815,12,cm_02,0.10339591830622585,1435196936.881578,1435201330.669353,1435201330.773004,4393.787775039673,4393.891426086426,1
1816,12,cm_01,0.6079929811524338,1435196331.300509,1435198605.216001,1435198605.82496,2273.9154920578003,2274.5244510173798,1
1817,12,cm_02,119.60916849419951,1435196938.571065,1435201330.77409,1435201450.479922,4392.203025102615,4511.9088571071625,1
1818,12,cm_02,0.8139106271811731,1435196940.879041,1435201450.482305,1435201451.297192,4509.603264093399,4510.418151140213,1
1819,12,cm_02,0.27784242974257256,1435196942.567209,1435201451.298802,1435201451.577055,4508.7315928936005,4509.009845972061,1
1820,12,cm_02,0.17404834098137756,1435196944.569046,1435201451.57804,1435201451.752395,4507.008993864059,4507.183348894119,1
1821,12,cm_02,113.4505768216563,1435196948.501312,1435201451.753405,1435201565.30401,4503.252093076706,4616.802697896957,1
1822,12,cm_02,0.007399450328654744,1435196950.196302,1435201565.306666,1435201565.314327,4615.110363960266,4615.118025064468,1
1823,12,cm_02,0.008461154758197198,1435196954.158485,1435201565.315122,1435201565.324426,4611.156636953354,4611.165940999985,1
1824,12,cm_02,14.516564333260389,1435196955.856112,1435201565.325664,1435201579.855904,4609.4695520401,4623.999792098999,1
1825,12,cm_02,0.512937644232375,1435196959.797561,1435201579.861661,1435201580.375281,4620.064100027084,4620.577720165253,1
