ID,window,serviceby,testID,job_size,in_Queue_time,out_Queue_time,out_Server_time,queueing_time,response_time,isFinished
3,0,cm_01,20150629-075958 am,0.2253250826317681,1435579201.980366,1435579201.981023,1435579202.210209,0.0006570816040039062,0.2298429012298584,1
6,0,cm_01,20150629-075958 am,0.05944535926356709,1435579202.702862,1435579202.704436,1435579202.764153,0.0015740394592285156,0.06129097938537598,1
9,0,cm_01,20150629-075958 am,7.319961005103471,1435579202.910839,1435579202.912582,1435579210.240128,0.0017428398132324219,7.329288959503174,1
12,0,cm_01,20150629-075958 am,0.32537583098283585,1435579203.544154,1435579210.241002,1435579210.566873,6.696848154067993,7.022719144821167,1
15,0,cm_02,20150629-075958 am,0.2825033566690198,1435579204.32504,1435579204.326547,1435579204.609622,0.001506805419921875,0.28458189964294434,1
18,0,cm_02,20150629-075958 am,0.1317558699404935,1435579205.121963,1435579205.122899,1435579205.254985,0.0009360313415527344,0.13302206993103027,1
21,0,cm_02,20150629-075958 am,0.30025283877997655,1435579205.655038,1435579205.656434,1435579205.957257,0.0013959407806396484,0.3022189140319824,1
24,0,cm_02,20150629-075958 am,15.75209097153843,1435579207.787495,1435579207.789016,1435579223.555472,0.0015211105346679688,15.767976999282837,1
27,0,cm_02,20150629-075958 am,0.6024765329745265,1435579208.494812,1435579223.556911,1435579224.160217,15.062098979949951,15.665405035018921,1
30,0,cm_03,20150629-075958 am,0.4582660382527193,1435579209.444731,1435579209.444953,1435579209.905337,0.0002219676971435547,0.46060609817504883,1
33,0,cm_03,20150629-075958 am,13.196186450018187,1435579209.824642,1435579209.906644,1435579223.116327,0.08200216293334961,13.291685104370117,1
38,0,cm_01,20150629-075958 am,0.17813752218676226,1435579212.053546,1435579212.053782,1435579212.233425,0.00023603439331054688,0.17987895011901855,1
41,0,cm_01,20150629-075958 am,1.393862940734163,1435579212.767924,1435579212.76936,1435579214.164902,0.001435995101928711,1.3969779014587402,1
44,0,cm_01,20150629-075958 am,1.3343915159031576,1435579214.623279,1435579214.623534,1435579215.960225,0.0002548694610595703,1.3369460105895996,1
47,0,cm_01,20150629-075958 am,0.5206469906518756,1435579215.858878,1435579215.961492,1435579216.48294,0.10261416435241699,0.6240620613098145,1
50,0,cm_01,20150629-075958 am,1.2849562586696432,1435579217.34457,1435579217.345593,1435579218.632302,0.0010230541229248047,1.2877321243286133,1
53,0,cm_01,20150629-075958 am,0.2929444780067465,1435579218.013556,1435579218.633487,1435579218.926962,0.6199309825897217,0.9134058952331543,1
54,0,cm_03,20150629-075958 am,0.5913194522363561,1435579218.305867,1435579223.117611,1435579223.709832,4.811743974685669,5.403964996337891,1
57,0,cm_01,20150629-075958 am,0.36962901396226533,1435579221.342474,1435579221.342685,1435579221.713728,0.0002110004425048828,0.37125396728515625,1
60,0,cm_01,20150629-075958 am,0.13815697383378178,1435579222.210346,1435579222.210556,1435579222.349174,0.00021004676818847656,0.13882803916931152,1
63,0,cm_01,20150629-075958 am,0.04920537130345082,1435579223.154418,1435579223.15478,1435579223.205422,0.0003619194030761719,0.05100393295288086,1
66,0,cm_01,20150629-075958 am,1.795938624988433,1435579225.365117,1435579225.366142,1435579227.163441,0.0010249614715576172,1.7983238697052002,1
69,0,cm_01,20150629-075958 am,0.10094757283732769,1435579226.286828,1435579227.165007,1435579227.266348,0.8781790733337402,0.9795198440551758,1
74,0,cm_01,20150629-075958 am,0.9647821458049881,1435579229.962671,1435579229.96375,1435579230.929682,0.0010788440704345703,0.9670109748840332,1
77,0,cm_01,20150629-075958 am,4.837797518024584,1435579231.73608,1435579231.736971,1435579236.579422,0.0008909702301025391,4.843342065811157,1
80,0,cm_01,20150629-075958 am,0.185218091224159,1435579233.146402,1435579236.580341,1435579236.765927,3.433939218521118,3.619525194168091,1
81,0,cm_02,20150629-075958 am,1.4513338387469181,1435579233.269817,1435579233.272282,1435579234.725467,0.002464771270751953,1.4556498527526855,1
84,0,cm_02,20150629-075958 am,0.8983321641008124,1435579235.044759,1435579235.045845,1435579235.94532,0.0010859966278076172,0.9005608558654785,1
89,0,cm_01,20150629-075958 am,0.43044636365965294,1435579237.239831,1435579237.240878,1435579237.671903,0.0010471343994140625,0.4320719242095947,1
92,0,cm_01,20150629-075958 am,6.14431930608343,1435579238.814357,1435579238.815901,1435579244.9667,0.0015439987182617188,6.152343034744263,1
95,0,cm_01,20150629-075958 am,0.07759744645732414,1435579239.702833,1435579244.968153,1435579245.046576,5.265320062637329,5.343743085861206,1
96,0,cm_02,20150629-075958 am,7.43283069219501,1435579240.119006,1435579240.1202,1435579247.555533,0.001194000244140625,7.4365270137786865,1
99,0,cm_02,20150629-075958 am,0.5296969469675008,1435579240.850422,1435579247.557192,1435579248.087773,6.706770181655884,7.237351179122925,1
102,0,cm_03,20150629-075958 am,5.325227921842343,1435579241.513682,1435579241.514582,1435579246.845638,0.0009000301361083984,5.331956148147583,1
105,0,cm_03,20150629-075958 am,37.100635183483895,1435579242.476489,1435579246.847071,1435579283.982133,4.370581865310669,41.50564384460449,1
108,0,cm_01,20150629-075958 am,0.12293338096691842,1435579244.797408,1435579245.048559,1435579245.174473,0.25115084648132324,0.37706494331359863,1
111,0,cm_01,20150629-075958 am,2.3592723961943602,1435579245.240406,1435579245.24224,1435579247.604236,0.0018339157104492188,2.3638298511505127,1
114,0,cm_01,20150629-075958 am,0.5679297063128832,1435579246.243578,1435579247.607715,1435579248.176737,1.3641369342803955,1.9331591129302979,1
117,0,cm_01,20150629-075958 am,0.7571881509317697,1435579246.835266,1435579248.178739,1435579248.937079,1.343472957611084,2.1018128395080566,1
121,0,cm_02,20150629-075958 am,4.115668597735604,1435579247.994373,1435579248.089736,1435579252.209978,0.09536290168762207,4.215605020523071,1
125,0,cm_01,20150629-075958 am,7.207723295548847,1435579248.770425,1435579248.938851,1435579256.15408,0.1684260368347168,7.383654832839966,1
128,0,cm_01,20150629-075958 am,0.18701092734926084,1435579249.189459,1435579256.155047,1435579256.34243,6.965587854385376,7.152971029281616,1
131,0,cm_02,20150629-075958 am,758.5951165712576,1435579249.823577,1435579252.210836,1435580010.895602,2.387259006500244,761.0720250606537,1
132,0,cm_03,20150629-075958 am,5.452382760423285,1435579249.855161,1435579283.984037,1435579289.442272,34.128875970840454,39.58711099624634,1
135,0,cm_01,20150629-075958 am,1.305632962728624,1435579250.062091,1435579256.343269,1435579257.650468,6.281177997589111,7.588376998901367,1
138,0,cm_02,20150629-075958 am,1.6639529295397169,1435579251.329109,1435580010.89792,1435580012.563933,759.5688109397888,761.2348239421844,1
142,0,cm_02,20150629-075958 am,2.2142580701678236,1435579253.327262,1435580012.564911,1435580014.779539,759.2376489639282,761.4522771835327,1
144,0,cm_03,20150629-075958 am,0.01135171231449239,1435579253.888274,1435579289.444069,1435579289.45586,35.55579495429993,35.567585945129395,1
147,0,cm_01,20150629-075958 am,1.3529195163196883,1435579255.239261,1435579257.651527,1435579259.006024,2.4122660160064697,3.7667629718780518,1
152,0,cm_01,20150629-075958 am,2.5292498876840064,1435579257.041707,1435579259.006895,1435579261.539003,1.9651880264282227,4.49729585647583,1
155,0,cm_01,20150629-075958 am,0.013513948362880113,1435579257.797794,1435579261.541132,1435579261.555075,3.743337869644165,3.7572808265686035,1
158,0,cm_01,20150629-075958 am,1.422910027431163,1435579259.497905,1435579261.556759,1435579262.981523,2.058854103088379,3.4836180210113525,1
161,1,cm_01,20150629-075958 am,0.673577177225573,1435579261.70248,1435579262.9841,1435579263.658863,1.2816200256347656,1.9563829898834229,1
164,1,cm_01,20150629-075958 am,0.313964947750103,1435579262.265214,1435579263.66063,1435579263.975482,1.395416021347046,1.7102680206298828,1
167,1,cm_01,20150629-075958 am,10.934423556953254,1435579264.016756,1435579264.018648,1435579274.964368,0.0018918514251708984,10.947612047195435,1
170,1,cm_01,20150629-075958 am,0.5451205462950299,1435579265.743248,1435579274.965719,1435579275.511624,9.222470998764038,9.768376111984253,1
173,1,cm_01,20150629-075958 am,0.6963920220679993,1435579267.25789,1435579275.512587,1435579276.209909,8.25469708442688,8.952018976211548,1
176,1,cm_01,20150629-075958 am,0.9953379209428523,1435579267.717229,1435579276.210846,1435579277.207345,8.493617057800293,9.490116119384766,1
177,1,cm_02,20150629-075958 am,1.968910920645583,1435579268.452434,1435580014.781142,1435580016.752348,746.3287079334259,748.2999138832092,1
180,1,cm_03,20150629-075958 am,2.8826646589119864,1435579269.467266,1435579289.457759,1435579292.343627,19.990492820739746,22.87636089324951,1
183,1,cm_01,20150629-075958 am,0.17641789206907,1435579271.620168,1435579277.208342,1435579277.3851,5.588174104690552,5.764931917190552,1
186,1,cm_02,20150629-075958 am,0.05811176824556874,1435579272.141584,1435580016.75427,1435580016.812766,744.6126861572266,744.6711821556091,1
189,1,cm_03,20150629-075958 am,1.5644081256530677,1435579273.552677,1435579292.345339,1435579293.91156,18.792662143707275,20.358883142471313,1
192,1,cm_01,20150629-075958 am,0.3001356092391534,1435579274.054471,1435579277.385808,1435579277.686513,3.3313369750976562,3.6320419311523438,1
195,1,cm_02,20150629-075958 am,2.9158614144545605,1435579274.810228,1435580016.81434,1435580019.733507,742.0041120052338,744.9232788085938,1
198,1,cm_01,20150629-075958 am,0.5744114887862557,1435579275.529528,1435579277.688299,1435579278.263621,2.15877103805542,2.734093189239502,1
201,1,cm_01,20150629-075958 am,0.06006154641290973,1435579275.627877,1435579278.265325,1435579278.325779,2.6374480724334717,2.697901964187622,1
205,1,cm_01,20150629-075958 am,1.0638421094228763,1435579277.404342,1435579278.3278,1435579279.393134,0.9234580993652344,1.9887921810150146,1
208,1,cm_01,20150629-075958 am,1.2288547756707597,1435579279.86413,1435579279.864452,1435579281.094972,0.0003218650817871094,1.230841875076294,1
211,1,cm_01,20150629-075958 am,3.7660303874753245,1435579280.724721,1435579281.095998,1435579284.866086,0.3712770938873291,4.141365051269531,1
214,1,cm_01,20150629-075958 am,0.8366946530578605,1435579280.973079,1435579284.867038,1435579285.704919,3.8939590454101562,4.731840133666992,1
217,1,cm_01,20150629-075958 am,7.512022636308599,1435579281.933332,1435579285.706494,1435579293.223467,3.7731621265411377,11.290135145187378,1
220,1,cm_01,20150629-075958 am,0.28912326609485484,1435579282.905764,1435579293.224346,1435579293.513975,10.318581819534302,10.608210802078247,1
223,1,cm_01,20150629-075958 am,0.03174806815953346,1435579284.054392,1435579293.515787,1435579293.547991,9.461394786834717,9.493598937988281,1
227,1,cm_01,20150629-075958 am,12.382075745198886,1435579286.535645,1435579293.549718,1435579305.944562,7.014072895050049,19.40891695022583,1
230,1,cm_01,20150629-075958 am,1.2164465359389318,1435579287.570777,1435579305.946388,1435579307.164458,18.375611066818237,19.59368109703064,1
231,1,cm_03,20150629-075958 am,0.19230139816672254,1435579287.879214,1435579293.914102,1435579294.106947,6.034888029098511,6.22773289680481,1
234,1,cm_01,20150629-075958 am,0.2972790353175965,1435579289.073094,1435579307.166071,1435579307.46395,18.092977046966553,18.39085602760315,1
237,1,cm_03,20150629-075958 am,0.7645681177283996,1435579289.797188,1435579294.108117,1435579294.873718,4.3109290599823,5.0765299797058105,1
