ID,window,serviceby,job_size,in_Queue_time,out_Queue_time,out_Server_time,queueing_time,response_time,isFinished
1,0,cm_01,1,1435395234.489473,1435395234.490345,1435395235.493764,0.0008718967437744141,1.0042908191680908,1
2,0,cm_01,1,1435395235.004059,1435395235.494699,1435395236.495959,0.49063992500305176,1.4918999671936035,1
3,0,cm_02,1,1435395235.21271,1435395235.214062,1435395236.21526,0.001352071762084961,1.0025501251220703,1
4,0,cm_02,1,1435395235.33277,1435395236.21593,1435395237.217242,0.883159875869751,1.8844718933105469,1
5,0,cm_01,28.55035801791109,1435395061.627547,1435395061.945604,1435395090.524664,0.3180570602416992,28.897116899490356,1
6,0,cm_01,1,1435395235.773299,1435395236.49685,1435395237.498012,0.7235510349273682,1.7247130870819092,1
7,0,cm_02,0.02575861714764227,1435395063.642949,1435395063.644481,1435395063.670608,0.001531839370727539,0.027658939361572266,1
8,0,cm_02,0.05241450133763692,1435395064.646825,1435395064.647934,1435395064.700574,0.0011088848114013672,0.05374884605407715,1
9,0,cm_02,1,1435395236.28054,1435395237.218123,1435395238.219322,0.9375829696655273,1.938781976699829,1
10,0,cm_01,1,1435395237.571567,1435395237.572477,1435395238.573705,0.0009100437164306641,1.0021378993988037,1
11,0,cm_01,1,1435395237.676481,1435395238.57455,1435395239.575117,0.898068904876709,1.8986361026763916,1
12,0,cm_01,1,1435395238.717158,1435395239.575886,1435395240.577046,0.8587279319763184,1.8598878383636475,1
13,0,cm_02,1,1435395238.801802,1435395238.802732,1435395239.803903,0.0009300708770751953,1.002101182937622,1
14,0,cm_02,1,1435395238.849923,1435395239.804745,1435395240.805918,0.9548220634460449,1.9559950828552246,1
15,0,cm_01,12.182189275745305,1435392717.49649,1435392717.497466,1435392729.692028,0.0009760856628417969,12.19553804397583,1
16,0,cm_02,6.457023595238716,1435392872.588002,1435392872.59044,1435392879.054285,0.002438068389892578,6.466283082962036,1
17,0,cm_02,0.06952156816388899,1435392461.564755,1435392461.56497,1435392461.635621,0.00021505355834960938,0.07086610794067383,1
18,0,cm_01,1,1435395239.733198,1435395240.577954,1435395241.579187,0.8447561264038086,1.8459889888763428,1
19,0,cm_02,1,1435395240.077015,1435395240.80672,1435395241.81115,0.7297050952911377,1.7341351509094238,1
20,0,cm_01,1,1435395240.855031,1435395241.580133,1435395242.581354,0.7251019477844238,1.726322889328003,1
21,0,cm_02,1,1435395241.537816,1435395241.811822,1435395242.813017,0.2740058898925781,1.2752008438110352,1
22,0,cm_01,1,1435395241.810294,1435395242.582523,1435395243.58375,0.7722291946411133,1.77345609664917,1
23,0,cm_01,1,1435395242.703153,1435395243.584499,1435395244.585743,0.8813459873199463,1.8825900554656982,1
24,0,cm_02,1,1435395242.908531,1435395242.909668,1435395243.910839,0.0011370182037353516,1.0023081302642822,1
25,0,cm_02,1,1435395243.092227,1435395243.911762,1435395244.913009,0.8195350170135498,1.820781946182251,1
26,0,cm_01,1,1435395244.348178,1435395244.5865,1435395245.587674,0.23832201957702637,1.2394959926605225,1
27,0,cm_01,1,1435395245.25596,1435395245.58847,1435395246.589617,0.33250999450683594,1.3336570262908936,1
28,0,cm_01,1,1435395245.833743,1435395246.590586,1435395247.591826,0.756842851638794,1.7580828666687012,1
29,0,cm_02,1,1435395245.945991,1435395245.946908,1435395246.948084,0.0009169578552246094,1.0020930767059326,1
30,0,cm_02,1,1435395246.126771,1435395246.94885,1435395247.950084,0.8220789432525635,1.8233129978179932,1
31,0,cm_03,0.5861098881670328,1435394103.14242,1435394103.239395,1435394103.826584,0.09697484970092773,0.6841640472412109,1
32,0,cm_01,1,1435395246.731695,1435395247.592782,1435395248.593969,0.8610870838165283,1.862274169921875,1
33,0,cm_02,1,1435395247.230393,1435395247.950955,1435395248.952255,0.7205619812011719,1.7218620777130127,1
34,0,cm_01,0.15178900707441811,1435390688.352485,1435390699.316444,1435390699.468726,10.963958978652954,11.116240978240967,1
35,0,cm_01,1,1435395248.270508,1435395248.594885,1435395249.596072,0.32437705993652344,1.325563907623291,1
36,0,cm_01,1,1435395248.852925,1435395249.59696,1435395250.598139,0.744035005569458,1.7452139854431152,1
37,0,cm_02,1,1435395249.374159,1435395249.375208,1435395250.375779,0.0010488033294677734,1.001619815826416,1
38,0,cm_01,1,1435395250.414029,1435395250.599488,1435395251.600685,0.18545913696289062,1.1866559982299805,1
39,0,cm_01,1,1435395251.654214,1435395251.656065,1435395252.657419,0.0018510818481445312,1.0032050609588623,1
40,0,cm_01,1,1435395251.81644,1435395252.658301,1435395253.659533,0.8418610095977783,1.843092918395996,1
41,0,cm_02,1,1435395252.012575,1435395252.013646,1435395253.014645,0.0010709762573242188,1.0020701885223389,1
42,0,cm_02,1,1435395252.019491,1435395253.016176,1435395254.016703,0.9966850280761719,1.9972119331359863,1
